Troop,Might,Dmg,Troop Def,Res Def,HP Def,Kills
27500,488.398338,0.2179,27500,254.9127,55.9602,1244
26256,479.258118,0.2079,27500,249.0768,56.0502,1147
26353,488.398338,0.2179,26256,254.9127,55.9602,1237
25019,479.258118,0.2079,26353,249.0768,56.0502,1140
25213,488.398338,0.2179,25019,254.9127,55.9602,1231
23788,479.258118,0.2079,25213,249.0768,56.0502,1132
24081,488.398338,0.2179,23788,254.9127,55.9602,1224
22564,479.258118,0.2079,24081,249.0768,56.0502,1124
22957,488.398338,0.2179,22564,254.9127,55.9602,1216
21348,479.258118,0.2079,22957,249.0768,56.0502,1116
21841,488.398338,0.2179,21348,254.9127,55.9602,1210
20138,479.258118,0.2079,21841,249.0768,56.0502,1108
20733,488.398338,0.2179,20138,254.9127,55.9602,1203
18935,479.258118,0.2079,20733,249.0768,56.0502,1100
19633,488.398338,0.2179,18935,254.9127,55.9602,1194
17741,479.258118,0.2079,19633,249.0768,56.0502,1091
108350,331.6701,0.004,108350,222.9549,48.51,1040
108350,322.9701,0.004,107310,222.9549,48.51,1017
108350,322.9701,0.004,106293,222.9549,48.51,1018
105275,426.66192,0.005,108350,171.304,42.9102,1625
108350,431.09892,0.005,106725,171.304,42.9102,1657
108350,431.09892,0.005,105068,171.304,42.9102,1659
103409,331.6701,0.004,106691,222.9549,48.51,1025
108350,322.9701,0.004,105032,222.9549,48.51,1021
108350,322.9701,0.004,104007,222.9549,48.51,1021
102986,426.66192,0.005,103409,171.304,42.9102,1617
108350,431.09892,0.005,101792,171.304,42.9102,1664
108350,431.09892,0.005,100128,171.304,42.9102,1667
98461,331.6701,0.004,102986,222.9549,43.12,1009
108350,322.9701,0.004,101977,222.9549,48.51,1023
108350,322.9701,0.004,100954,222.9549,48.51,1024
99930,426.66192,0.005,98461,171.304,42.9102,1609
108350,431.09892,0.005,96852,171.304,42.9102,1671
108350,431.09892,0.005,95181,171.304,42.9102,1674
93507,331.6701,0.004,99930,222.9549,48.51,993
108350,322.9701,0.004,98256,222.9549,48.51,1026
108350,322.9701,0.004,97263,222.9549,48.51,1027
96236,426.66192,0.005,93507,171.304,42.9102,1602
108350,431.09892,0.005,91905,171.304,42.9102,1678
108350,431.09892,0.005,90227,171.304,42.9102,1681
88546,331.6701,0.004,96236,222.9549,48.51,977
108350,322.9701,0.004,94555,222.9549,48.51,1029
108350,322.9701,0.004,93578,222.9549,48.51,1029
92549,426.66192,0.005,88546,171.304,42.9102,1594
108350,431.09892,0.005,86952,171.304,42.9102,1686
108350,431.09892,0.005,85266,171.304,42.9102,1689
83577,331.6701,0.004,92549,222.9549,48.51,960
108350,322.9701,0.004,90860,222.9549,48.51,1032
108350,322.9701,0.004,89900,222.9549,48.51,1033
88867,426.66192,0.005,83577,171.304,42.9102,1587
108350,431.09892,0.005,81990,171.304,42.9102,1694
108350,431.09892,0.005,80296,171.304,42.9102,1697
78599,331.6701,0.004,88867,222.9549,48.51,942
108350,322.9701,0.004,87170,222.9549,48.51,1034
108350,322.9701,0.004,86228,222.9549,48.51,1036
85192,426.66192,0.005,78599,171.304,42.9102,1579
108350,431.09892,0.005,77020,171.304,42.9102,1702
108350,431.09892,0.005,75318,171.304,42.9102,1706
73612,331.6701,0.004,85192,222.9549,48.51,924
108350,322.9701,0.004,83486,222.9549,48.51,1038
108350,322.9701,0.004,82562,222.9549,48.51,1039
81523,426.66192,0.005,73612,171.304,42.9102,1571
108350,431.09892,0.005,72041,171.304,42.9102,1711
108350,431.09892,0.005,70330,171.304,42.9102,1714
